Code du Point de Vente,Raison Sociale,Code Postal,Ville,Code Chef de Secteur Henkel,"Total
Famille",Famille,"Total
annuel
2022","Total
annuel
2023","Total
annuel
Evol","Total
YTD
2022","Total
YTD
2023","Total
YTD
Evol","Janvier
2022","Janvier
2023","Janvier
Evol","Février
2022","Février
2023","Février
Evol","Mars
2022","Mars
2023","Mars
Evol","Avril
2022","Avril
2023","Avril
Evol","Mai
2022","Mai
2023","Mai
Evol","Juin
2022","Juin
2023","Juin
Evol","Juillet
2022","Juillet
2023","Juillet
Evol","Août
2022","Août
2023","Août
Evol","Septembre
2022","Septembre
2023","Septembre
Evol","Octobre
2022","Octobre
2023","Octobre
Evol","Novembre
2022","Novembre
2023","Novembre
Evol","Décembre
2022","Décembre
2023","Décembre
Evol"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,TOTAL HENKEL,,31576,25859,"-18,11%",31576,25859,"-18,11%",2614,3180,"21,66%",4593,2622,"-42,91%",3643,1122,"-69,19%",2410,1562,"-35,20%",2485,1431,"-42,39%",1581,975,"-38,34%",2262,2215,"-2,09%",1802,3136,"74,07%",3300,2177,"-34,02%",2505,2192,"-12,48%",2632,2029,"-22,89%",1751,3217,"83,75%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,TOTAL HENKEL Indirect,31576,25859,"-18,11%",31576,25859,"-18,11%",2614,3180,"21,66%",4593,2622,"-42,91%",3643,1122,"-69,19%",2410,1562,"-35,20%",2485,1431,"-42,39%",1581,975,"-38,34%",2262,2215,"-2,09%",1802,3136,"74,07%",3300,2177,"-34,02%",2505,2192,"-12,48%",2632,2029,"-22,89%",1751,3217,"83,75%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    MASTICS,13017,10715,"-17,68%",13017,10715,"-17,68%",897,1224,"36,42%",2019,1040,"-48,46%",1424,515,"-63,81%",746,781,"4,67%",1198,522,"-56,43%",339,397,"17,29%",948,862,"-9,01%",592,1551,"161,88%",1453,851,"-41,45%",1408,973,"-30,90%",1207,863,"-28,54%",786,1136,"44,60%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    COLLES DE FIXATION,6057,4883,"-19,37%",6057,4883,"-19,37%",556,676,"21,49%",688,470,"-31,72%",563,161,"-71,31%",383,350,"-8,63%",396,231,"-41,51%",606,251,"-58,68%",695,339,"-51,18%",405,664,"63,71%",470,371,"-21,14%",672,265,"-60,67%",417,379,"-9,12%",204,727,"256,19%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    COLLES INSTANTANÉES,2120,1835,,2120,1835,"-13,46%",,372,,385,254,"-33,96%",284,76,"-73,38%",192,40,"-78,95%",188,91,"-51,25%",87,125,"42,80%",75,119,"58,95%",71,40,"-43,43%",90,246,"172,84%",64,197,"209,06%",596,36,"-93,90%",88,237,"170,73%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    COLLES BOIS - CONTACT,940,781,,940,781,"-16,93%",57,109,"92,48%",111,92,"-17,46%",190,41,"-78,31%",,,,101,61,"-40,33%",32,63,"97,20%",132,74,"-44,40%",151,87,"-42,32%",,,,64,111,"75,26%",102,,,,143,
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    COLLES MULTI-USAGES - EPOXY - SPECIALITE,1016,1188,,1016,1188,"16,93%",53,52,"-1,14%",245,128,"-47,75%",,97,,176,,,81,59,"-27,18%",92,56,"-39,48%",52,255,"392,58%",98,72,"-26,10%",143,212,"48,37%",32,56,"73,51%",,63,,46,139,"204,88%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    ADHÉSIFS,1786,1021,"-42,81%",1786,1021,"-42,81%",167,82,"-51,10%",312,71,"-77,31%",89,81,"-9,48%",259,52,"-79,91%",109,85,"-22,71%",151,19,"-87,60%",196,152,"-22,56%",163,147,"-9,79%",45,100,"121,72%",155,78,"-49,74%",102,93,"-9,29%",37,63,"70,18%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    ABSORBEURS D'HUMIDITÉ,2970,2801,,2970,2801,"-5,70%",82,504,"517,76%",462,329,"-28,77%",694,,,290,,,152,121,"-20,48%",61,24,"-59,96%",41,49,"18,41%",81,454,"463,56%",789,74,"-90,62%",72,420,"480,66%",53,254,"378,71%",194,573,"195,70%"
20nh6,BRICOMARCHE - B067,22110,ROSTRENEN,443,,-    MOUSSES EXPANSIVES,768,526,,768,526,"-31,59%",167,,,,,,,,,235,131,"-44,13%",,,,,,,,131,,118,,,,,,,,,124,263,112%,125,,
