ANNEE,CODE DU POINT DE VENTE,RAISON SOCIALE,CODE POSTAL,VILLE,Code Chef de Secteur Henkel,RAYON,NATURE,TYPE ACCORD,MODALITÉS,"BUDGET
ACCORD
HT €"
2023,20p2y,BRICOMARCHE - B077,40800,AIRE SUR ADOUR,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  800,00 € "
2022,20p2y,BRICOMARCHE - B077,40800,AIRE SUR ADOUR,413,Tous rayons,Permanent,VISIBILITE,,"  900,00 € "
2023,20p67,BRICOMARCHE - B059,44150,ANCENIS,444,Tous rayons,Promo,,Valeur Fixe,"  1 500,00 € "
2023,20p26,BRICOMARCHE - B172,38490,AOSTE,347,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  575,85 € "
2022,20p26,BRICOMARCHE - B172,38490,AOSTE,347,Tous rayons,Permanent,BCM AOSTE Contrat + facture pack visibilite 2022,,"  575,85 € "
2023,20nmc,BRICOMARCHE - B339,26400,AOUSTE SUR SYE,378,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  747,15 € "
2022,20nmc,BRICOMARCHE - B339,26400,AOUSTE SUR SYE,378,Tous rayons,Permanent,PACK VISIBILITE 2022,,"  574,26 € "
2023,20pak,BRICOMARCHE - B117,49250,BEAUFORT EN VALLEE,460,Tous rayons,Promo,TG/Podium,Valeur Fixe,"  250,00 € "
2022,20pua,BRICOMARCHE - B123,65130,CAPVERN LES BAINS,413,Tous rayons,Permanent,PACK VISIBILITE 2022,,"  1 100,00 € "
2023,20pua,BRICOMARCHE - B123,65130,CAPVERN LES BAINS,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 100,00 € "
2022,20pua,BRICOMARCHE - B123,65130,CAPVERN LES BAINS,413,Tous rayons,Permanent,PACK VISIBILITE 2022,,"  1 057,80 € "
2023,20n6m,BRICOMARCHE - B159,11000,CARCASSONNE,315,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 302,00 € "
2022,20n6m,BRICOMARCHE - B159,11000,CARCASSONNE,315,Tous rayons,Permanent,VISIBILITE 2022,,"  1 285,00 € "
2023,20pck,BRICOMARCHE - B332,51000,CHALONS EN CHAMPAGNE,536,Peinture,Permanent,TG/Podium,Valeur Fixe,"  450,00 € "
2023,20p5a,BRICOMARCHE - B263,43400,CHAMBON SUR LIGNON,378,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  479,65 € "
2022,20p5a,BRICOMARCHE - B263,43400,CHAMBON SUR LIGNON,378,Tous rayons,Permanent,VISIBILITE 2021 / 2022,,"  891,60 € "
2022,20rff,BRICOMARCHE - B419,88130,CHARMES,325,Tous rayons,Permanent,MEA PATTEX/LOCTITE/RUBSON/METYLAN,,"  2 061,00 € "
2023,20p1y,BRICOMARCHE - B297,38670,CHASSE SUR RHONE,348,Tous rayons,Permanent,Pack Visibilité GSB,Valeur Fixe,"  1 000,00 € "
2022,20p1y,BRICOMARCHE - B297,38670,CHASSE SUR RHONE,348,Tous rayons,Permanent,VISIBILITE 2022,,"  1 000,00 € "
2022,20p4p,BRICOMARCHE - B161,42410,CHAVANAY,378,Tous rayons,Permanent,VISIBILITE 2022,,"  560,79 € "
2023,20p55,BRICOMARCHE - B335,42110,CIVENS FEURS,348,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 428,00 € "
2023,20p55,BRICOMARCHE - B335,42110,CIVENS FEURS,348,Tous rayons,Permanent,,% CA Annuel Direct + Entrepôt,"  1 700,00 € "
2023,20pt2,BRICOMARCHE - B057,64800,COARRAZE,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 100,00 € "
2022,20pt2,BRICOMARCHE - B057,64800,COARRAZE,413,Tous rayons,Permanent,VISIBILITE,,"  900,00 € "
2023,20nuw,BRICOMARCHE - B128,32100,CONDOM,412,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  770,00 € "
2022,20nuw,BRICOMARCHE - B128,32100,CONDOM,412,Tous rayons,Permanent,VISIBILITE 2022,,"  800,00 € "
2023,20rfk,BRICOMARCHE - B189,88140,CONTREXEVILLE,325,Tous rayons,Promo,Promotion,Valeur Fixe,"  1 457,00 € "
2022,20rfk,BRICOMARCHE - B189,88140,CONTREXEVILLE,325,Tous rayons,Promo,MEA PDTS HENKEL,,"  1 397,01 € "
2023,20nwx,BRICOMARCHE - B054,33230,COUTRAS,414,Déco,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  1 758,00 € "
2022,20nwx,BRICOMARCHE - B054,33230,COUTRAS,414,Déco,Permanent,CROSS PREVENTES LOCTITE / PATTEX / RUSON,,"  2 055,00 € "
2022,20n52,BRICOMARCHE - B424,07430,DAVEZIEUX,378,Déco,Permanent,VISIBILITE 2022,,"  561,93 € "
