CODE INTERNE UNIQUE DU POINT DE VENTE,Raison Sociale,Ville,Code Postal,"Total visites annuelles
2022","Total visites annuelles
2023"
20p7z,BRICOMARCHE - 20096,CHALETTE/LOING,45120,0,0
20nbx,BRICOMARCHE - B002,LA FLOTTE EN RE,17630,10,12
20nh9,BRICOMARCHE - B004,PAIMPOL,22500,7,7
20nx6,BRICOMARCHE - B005,ST MEDARD EN JALLES,33160,8,6
20nvh,BRICOMARCHE - B006,LA TESTE DE BUCH,33260,8,6
20nur,BRICOMARCHE - B007,MOUSTAJON,31110,0,0
20p0k,BRICOMARCHE - B008,CHINON,37500,6,0
20nb5,BRICOMARCHE - B009,CHALAIS,16210,0,0
20p12,BRICOMARCHE - B010,YZEURES SUR CREUSE,37290,0,0
20p9c,BRICOMARCHE - B011,CAHORS,46000,0,0
20ncr,BRICOMARCHE - B012,SAINTES,17100,8,8
20nv6,BRICOMARCHE - B013,PLAISANCE DU GERS,32160,0,0
20nrn,BRICOMARCHE - B014,CHATEAULIN,29150,0,0
20p9x,BRICOMARCHE - B015,CASTELJALOUX,47700,0,0
20p5s,BRICOMARCHE - B016,LA CHAPELLE SUR ERDRE,44240,9,9
20nbb,BRICOMARCHE - B017,CONFOLENS,16500,0,0
20rba,BRICOMARCHE - B018,LUCON,85400,0,0
20pj2,BRICOMARCHE - B019,RIANTEC,56670,0,0
20p7a,BRICOMARCHE - B020,LA TURBALLE,44420,0,0
20ndr,BRICOMARCHE - B021,EGLETONS,19300,7,7
20nap,BRICOMARCHE - B023,AURILLAC,15000,7,7
20p3r,BRICOMARCHE - B024,PONTONX SUR L'ADOUR,40465,6,6
20nj2,BRICOMARCHE - B025,BEGARD,22140,7,0
20nup,BRICOMARCHE - B026,SAINT LYS,31470,0,0
20p3u,BRICOMARCHE - B027,YZOSSE,40180,0,0
20p9y,BRICOMARCHE - B028,AIGUILLON,47190,0,0
20rc3,BRICOMARCHE - B029,LA GUERINIERE,85680,6,6
20nu6,BRICOMARCHE - B030,REVEL,31250,7,7
20nk8,BRICOMARCHE - B031,MONTPON MENESTEROL,24700,0,0
20rds,BRICOMARCHE - B033,ROCHECHOUART,87600,0,0
20nw4,BRICOMARCHE - B034,BAZAS,33430,0,0
20p32,BRICOMARCHE - B035,SOORTS HOSSEGOR,40150,10,10
20n5s,BRICOMARCHE - B036,SAVERDUN,09700,5,5
20nkk,BRICOMARCHE - B037,TERRASSON LA VILLEDIEU,24120,0,0
20nv8,BRICOMARCHE - B038,LECTOURE,32700,6,6
20p2z,BRICOMARCHE - B039,MONT DE MARSAN,40000,6,8
20pa4,BRICOMARCHE - B040,NERAC,47600,0,0
20ph8,BRICOMARCHE - B041,HENNEBONT,56700,3,3
20phj,BRICOMARCHE - B042,NIVILLAC,56130,8,8
20p66,BRICOMARCHE - B043,GUERANDE,44350,7,7
09n10,BRICOMARCHE - B044,SAINT LIZIER,09190,0,5
20ntm,BRICOMARCHE - B045,ESTANCARBON,31800,12,12
20p33,BRICOMARCHE - B046,TARNOS,40220,10,10
33n78,BRICOMARCHE - B047,SAUVETERRE DE GUYENNE,33540,0,0
20t6a,BRICOMARCHE - B048,FERRIERES,17170,7,6
20une,BRICOMARCHE - B049,QUESTEMBERT,56230,0,0
20npp,BRICOMARCHE - B050,DOUARNENEZ,29100,0,0
20nh4,BRICOMARCHE - B051,TADEN,22100,4,4
20pu9,BRICOMARCHE - B052,TARBES,65000,9,9
20njw,BRICOMARCHE - B053,RIBERAC,24600,0,0
20nwx,BRICOMARCHE - B054,COUTRAS,33230,9,9
20p60,BRICOMARCHE - B055,BATZ SUR MER,44740,9,8
20r6s,BRICOMARCHE - B056,SAINT MAIXENT L'ECOLE,79400,6,6
20pt2,BRICOMARCHE - B057,COARRAZE,64800,9,9
20nr2,BRICOMARCHE - B058,PLOMEUR,29120,7,0
20p67,BRICOMARCHE - B059,ANCENIS,44150,10,10
20njx,BRICOMARCHE - B060,LE BUGUE,24260,0,0
20nts,BRICOMARCHE - B061,RAMONVILLE SAINT AGNE,31520,8,8
20p00,BRICOMARCHE - B062,CHATILLON SUR INDRE,36700,0,0
20phd,BRICOMARCHE - B063,GUER,56380,4,0
20p0p,BRICOMARCHE - B064,CHATEAU RENAULT,37110,0,0
20p5n,BRICOMARCHE - B065,CHATEAUBRIANT,44110,7,7
20ph7,BRICOMARCHE - B066,AURAY,56400,7,7
20nh6,BRICOMARCHE - B067,ROSTRENEN,22110,7,7
20pam,BRICOMARCHE - B068,SEGRE EN ANJOU BLEU,49500,7,7
20nha,BRICOMARCHE - B069,SAINT AGATHON,22200,7,7
20npr,BRICOMARCHE - B070,MELLAC,29300,7,7
20npv,BRICOMARCHE - B071,SAINT POL DE LEON,29250,7,7
20p61,BRICOMARCHE - B072,PORNIC,44210,9,10
20phx,BRICOMARCHE - B073,CLEGUER,56620,0,0
20nw3,BRICOMARCHE - B074,CESTAS,33610,7,7
20ptu,BRICOMARCHE - B075,CHERAUTE,64130,0,0
20nu8,BRICOMARCHE - B076,VENERQUE,31810,0,0
