Code du Point de Vente,Raison Sociale,Code Postal,Ville,Code Chef de Secteur Henkel,"Total
Famille",Famille,"Total
annuel
2022","Total
annuel
2023","Total
annuel
Evol","Total
YTD
2022","Total
YTD
2023","Total
YTD
Evol","Janvier
2022","Janvier
2023","Janvier
Evol","Février
2022","Février
2023","Février
Evol","Mars
2022","Mars
2023","Mars
Evol","Avril
2022","Avril
2023","Avril
Evol","Mai
2022","Mai
2023","Mai
Evol","Juin
2022","Juin
2023","Juin
Evol","Juillet
2022","Juillet
2023","Juillet
Evol","Août
2022","Août
2023","Août
Evol","Septembre
2022","Septembre
2023","Septembre
Evol","Octobre
2022","Octobre
2023","Octobre
Evol","Novembre
2022","Novembre
2023","Novembre
Evol","Décembre
2022","Décembre
2023","Décembre
Evol"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,TOTAL HENKEL,,214557,241343,"12,48%",214557,241343,"12,48%",19716,25622,"29,95%",19032,17584,"-7,61%",29831,24158,"-19,02%",4526,10659,"135,52%",12110,23086,"90,63%",16115,15065,"-6,52%",13862,18276,"31,85%",20726,25399,"22,55%",15031,15541,"3,39%",24374,23956,"-1,72%",19117,17205,-10%,20117,24792,"23,24%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,TOTAL HENKEL Direct,214557,241343,"12,48%",214557,241343,"12,48%",19716,25622,"29,95%",19032,17584,"-7,61%",29831,24158,"-19,02%",4526,10659,"135,52%",12110,23086,"90,63%",16115,15065,"-6,52%",13862,18276,"31,85%",20726,25399,"22,55%",15031,15541,"3,39%",24374,23956,"-1,72%",19117,17205,-10%,20117,24792,"23,24%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    PEINTURE,140737,166244,"18,12%",140737,166244,"18,12%",12973,16534,"27,45%",13446,11218,"-16,57%",18643,14307,"-23,26%",2916,8080,"177,08%",5659,12361,"118,44%",10409,9499,"-8,74%",9639,13985,"45,09%",12196,18494,"51,64%",10132,12679,"25,14%",16428,17645,"7,40%",13351,12890,"-3,45%",14944,18552,"24,14%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    MENUISERIE,19030,22515,,19030,22515,"18,31%",1385,3038,"119,34%",1230,1561,"26,89%",2898,3657,"26,20%",,269,,2117,4678,"120,97%",1262,1081,"-14,31%",1081,1668,"54,32%",1617,2408,"48,91%",1450,882,"-39,17%",3654,1310,"-64,16%",1291,636,"-50,73%",1046,1327,"26,81%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    PLOMBERIE,18757,16778,,18757,16778,"-10,55%",1707,3090,"81,05%",1624,1802,"10,94%",3647,2402,"-34,14%",,400,,527,2060,"291,20%",951,794,"-16,48%",1346,355,"-73,65%",3678,1098,"-70,14%",1496,729,"-51,27%",1907,1975,"3,57%",1096,941,"-14,16%",777,1132,"45,63%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    SOL,21134,21931,"3,77%",21134,21931,"3,77%",2767,1953,"-29,42%",1401,1218,"-13,05%",3799,2571,"-32,34%",512,724,"41,40%",1228,2484,"102,34%",2010,2471,"22,91%",963,1645,"70,82%",1668,1920,"15,13%",1394,589,"-57,72%",1248,1694,"35,72%",1972,2032,"3,04%",2173,2630,"21,04%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    DECO,12860,9831,"-23,55%",12860,9831,"-23,55%",885,820,"-7,36%",1203,743,"-38,25%",844,945,"11,96%",977,948,"-2,98%",1865,1456,"-21,90%",1074,259,"-75,84%",834,281,"-66,31%",1434,1213,"-15,43%",438,517,"18,10%",1136,1188,"4,53%",1290,707,"-45,19%",881,754,"-14,37%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    QUINCAILLERIE,820,2401,,820,2401,"192,61%",,141,,127,228,"79,77%",,72,,120,144,"20,28%",,,,122,802,"558,13%",,344,,132,144,"9,26%",122,144,"18,62%",,144,,65,,,132,235,"77,86%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    BATI,1066,1366,,1066,1366,"28,08%",,,,,813,,,158,,,,,616,,,287,158,"-44,90%",,,,,75,,,,,,,,,,,164,161,"-1,39%"
20nrr,LEROY MERLIN - 181,29000,QUIMPER,443,,-    AUTRES,152,277,,152,277,"82,18%",,46,,,,,,46,,,92,,100,46,"-53,61%",,,,,,,,46,,,,,,,,53,,,,,
