ANNEE,CODE DU POINT DE VENTE,Code IDH,RAISON SOCIALE,CODE POSTAL,VILLE,CODE Chef de secteur,RAYON,NATURE,TYPE ACCORD,"STATUT
ACCORD",MODALITÉS,PAIEMENT,PÉRIODE,"BUDGET
ACCORD
HT €"
2023,20r81,134129,LEROY MERLIN - 069,80085,AMIENS,521,Peinture,Promo,,Signé,Valeur Fixe,PP,,"  2 050,00 € "
2022,20r81,134129,LEROY MERLIN - 069,80085,AMIENS,521,Peinture,Promo,CROSS MKT REVTS MUR-PLAFONDS-PLANCHERS,,,,,"  100,00 € "
2022,20r81,134129,LEROY MERLIN - 069,80085,AMIENS,521,Peinture,Promo,PODIUM COLLES & MASTICS,,,,,"  560,00 € "
2022,20rh8,107262,LEROY MERLIN,90400,Andelnans,323,Peinture,Promo,TG CAISSE SG3 + POWER TAPE,,,,,"  800,00 € "
2022,20rh8,107262,LEROY MERLIN,90400,Andelnans,323,Peinture,Promo,CROSS MKT MASTIC COLLES CROSS ET GONDOLE BASSE,,,,,"  4 500,00 € "
2023,20r24,974089,LEROY MERLIN - 154,74112,ANNEMASSE CEDEX,323,Peinture,Permanent,Cross,Signé,Valeur Fixe,PP,,"  3 500,00 € "
2022,20r24,974089,LEROY MERLIN - 154,74112,ANNEMASSE CEDEX,323,Peinture,Permanent,CROSS MKT COLLES & SILICONES,,,,,"  2 400,00 € "
2023,20ppt,107246,LEROY MERLIN - 048,62000,ARRAS,521,Peinture,Promo,,Signé,Valeur Fixe,PP,Trimestre 3,"  1 280,00 € "
2023,20ppt,107246,LEROY MERLIN - 048,62000,ARRAS,521,Menuiserie,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  450,00 € "
2023,20ppt,107246,LEROY MERLIN - 048,62000,ARRAS,521,Peinture,Promo,,Signé,Valeur Fixe,PP,Trimestre 4,"  1 095,00 € "
2022,20ppt,107246,LEROY MERLIN - 048,62000,ARRAS,521,Peinture,Permanent,CROSS MKT COLLES,,,,,"  1 700,00 € "
2022,20ppt,107246,LEROY MERLIN - 048,62000,ARRAS,521,Peinture,Permanent,CROSS MKT COLLES & MASTICS,,,,,"  1 050,00 € "
2023,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Plomberie,Permanent,,Engagé,Valeur Fixe,PP,Année complète,"  2 000,00 € "
2023,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Promo,TG/Podium,Engagé,Valeur Fixe,PP,Ponctuelle,"  1 000,00 € "
2023,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG/Podium,Engagé,Valeur Fixe,PP,Semestre 1,"  750,00 € "
2023,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG Caisses,Engagé,Valeur Fixe,PP,Semestre 1,"  1 200,00 € "
2023,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG Caisses,Engagé,Valeur Fixe,PP,Semestre 2,"  1 200,00 € "
2023,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG/Podium,Engagé,Valeur Fixe,PP,Semestre 2,"  750,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG ISOL & ETANCH,,,,,"  1 000,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG COLLES,,,,,"  250,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Promo,TG CAISSE COLLES,,,,,"  1 225,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG COLLES,,,,,"  1 775,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG CAISSE COLLES,,,,,"  1 225,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG COLLES,,,,,"  1 775,00 € "
2022,20n7d,700831,LEROY MERLIN - 140,13400,AUBAGNE,379,Peinture,Permanent,TG MASTICS & COLLES,,,,,"  1 200,00 € "
2023,20ntu,521707,LEROY MERLIN - 110,31130,BALMA CEDEX,412,Peinture,Permanent,TG Caisses,Engagé,Valeur Fixe,PP,Année complète,"  4 320,00 € "
2023,20ntu,521707,LEROY MERLIN - 110,31130,BALMA CEDEX,412,Peinture,Permanent,TG/Podium,Engagé,Valeur Fixe,PP,Année complète,"  3 750,00 € "
2022,20ntu,521707,LEROY MERLIN - 110,31130,BALMA CEDEX,412,Peinture,Permanent,CROSS MKT COLLES,,,,,"  1 200,00 € "
2022,20ntu,521707,LEROY MERLIN - 110,31130,BALMA CEDEX,412,Peinture,Permanent,TG COLLES,,,,,"  1 500,00 € "
2022,20ntu,521707,LEROY MERLIN - 110,31130,BALMA CEDEX,412,Peinture,Permanent,TG CAISSE COLLES,,,,,"  6 000,00 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Promo,Promotion,Signé,Valeur Fixe,PP,Ponctuelle,"  98,00 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Promo,,Engagé,% CA Annuel Direct,PP,Ponctuelle,"  136,66 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Promo,TG/Podium,Signé,Valeur Fixe,PP,Ponctuelle,"  292,50 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Menuiserie,Promo,Cross,Signé,Valeur Fixe,PP,Ponctuelle,"  400,00 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Promo,Promotion,Signé,Valeur Fixe,PP,Ponctuelle,"  291,00 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Promo,Cross,Signé,Valeur Fixe,PP,Ponctuelle,"  58,00 € "
2023,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Permanent,TG Caisses,Signé,Valeur Fixe,PP,Semestre 2,"  800,00 € "
2022,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Permanent,CROSS MKT ISOLATION & ETANCHEITE,,,,,"  939,00 € "
2022,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Permanent,CROSS MKT ISOLATION & ETANCHEITE,,,,,"  200,59 € "
2022,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Permanent,CROSS MKT PEINTURE EXTERIEURE,,,,,"  110,94 € "
2022,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Promo,TG ISOLATION & ETANCHEITE ABHU,,,,,"  135,21 € "
2022,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Permanent,CROSS MKT ISOLATION & ETANCHEITE,,,,,"  207,10 € "
2022,20pty,292155,LEROY MERLIN - 071,64100,BAYONNE,413,Peinture,Permanent,CROSS MKT ISOLATION & ETANCHEITE,,,,,"  456,00 € "
2023,20pp5,2395543,LEROY MERLIN - 191,60000,BEAUVAIS,521,Peinture,Promo,,Signé,Valeur Fixe,PP,,"  1 600,00 € "
2022,20pp5,2395543,LEROY MERLIN - 191,60000,BEAUVAIS,521,Peinture,Promo,PODIUM COLLES,,,,,"  400,00 € "
2023,20nkn,1224207,LEROY MERLIN - 162,25000,BESANCON,323,Peinture,Permanent,Pack Visibilité GSB,Signé,Valeur Fixe,PP,,"  3 200,00 € "
2023,20nzm,807951,LEROY MERLIN - 147,35830,BETTON,497,Peinture,Permanent,Cross,Signé,Valeur Fixe,PP,,"  600,00 € "
2023,20nzm,807951,LEROY MERLIN - 147,35830,BETTON,497,Peinture,Promo,TG/Podium,Signé,Valeur Fixe,PP,Ponctuelle,"  125,00 € "
2022,20nzm,807951,LEROY MERLIN - 147,35830,BETTON,497,Peinture,Promo,TG ISOLATION & ETANCHEITE,,,,,"  600,00 € "
2022,20nzm,807951,LEROY MERLIN - 147,35830,BETTON,497,Peinture,Permanent,CROSS MKT EVACUATION,,,,,"  150,00 € "
2023,20nx4,1641725,LEROY MERLIN - 173,33380,BIGANOS,414,Peinture,Permanent,Cross,Signé,Valeur Fixe,PP,Année complète,"  1 700,00 € "
2023,20nx4,1641725,LEROY MERLIN - 173,33380,BIGANOS,414,Plomberie,Promo,Promotion,Engagé,,PP,Ponctuelle,"  450,00 € "
2022,20nx4,1641725,LEROY MERLIN - 173,33380,BIGANOS,414,Peinture,Permanent,CROSS MKT COLLES,,,,,"  850,00 € "
2022,20nx4,1641725,LEROY MERLIN - 173,33380,BIGANOS,414,Peinture,Permanent,CROSS MKT COLLES,,,,,"  850,00 € "
2023,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Menuiserie,Permanent,Cross,Signé,Valeur Fixe,PP,Année complète,"  300,00 € "
2023,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Peinture,Permanent,Cross,Signé,Valeur Fixe,PP,Année complète,"  1 400,00 € "
2023,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Peinture,Promo,,Signé,Valeur Fixe,PP,Semestre 2,"  50,00 € "
2022,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Peinture,Permanent,TG NCNV,,,,,"  268,00 € "
2022,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Peinture,Promo,CROSS MKT COLLES,,,,,"  1 400,00 € "
2022,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Peinture,Permanent,TG ISOLATION & ETANCHEITE,,,,,"  120,00 € "
2022,20p4a,2259609,LEROY MERLIN - 187,41000,BLOIS,497,Peinture,Promo,CROSS MKT ALIMENTATION,,,,,"  450,00 € "
2023,20pa0,1781965,LEROY MERLIN - 176,47550,BOE,412,Peinture,Permanent,TG Caisses,Engagé,Valeur Fixe,PP,Année complète,"  1 632,00 € "
2023,20pa0,1781965,LEROY MERLIN - 176,47550,BOE,412,Peinture,Permanent,TG/Podium,Engagé,Valeur Fixe,,Année complète,"  1 400,00 € "
2022,20pa0,1781965,LEROY MERLIN - 176,47550,BOE,412,Peinture,Permanent,TG CAISSE COLLES,,,,,"  960,00 € "
2022,20pa0,1781965,LEROY MERLIN - 176,47550,BOE,412,Peinture,Permanent,CROSS MKT MASTICS & COLLES,,,,,"  1 400,00 € "
2023,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  9 933,00 € "
2023,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  9 933,00 € "
2023,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  9 934,00 € "
2023,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Plomberie,Permanent,Cross,Signé,Valeur Fixe,PP,,"  2 000,00 € "
2022,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,PODIUM ISOL & ETANCH,,,,,"  2 500,00 € "
2022,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  5 325,00 € "
2022,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  5 325,00 € "
2022,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  5 325,00 € "
2022,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,TG ISOLATION & ETANCHEITE,,,,,"  5 000,00 € "
2022,20r5r,911126,LEROY MERLIN - 143,78390,BOIS D ARCY,311,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  5 325,00 € "
2023,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,,Signé,Valeur Fixe,PP,Semestre 1,"  4 310,00 € "
2023,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,,Signé,Valeur Fixe,PP,Semestre 2,"  4 310,00 € "
2023,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Plomberie,Permanent,,Signé,Valeur Fixe,PP,Semestre 1,"  1 500,00 € "
2023,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Plomberie,Permanent,,Signé,Valeur Fixe,PP,Semestre 2,"  1 500,00 € "
2023,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Menuiserie,Permanent,,Signé,Valeur Fixe,PP,Année complète,"  1 200,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  1 000,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  1 000,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  1 000,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,CROSS MKT RUBSON MASTIC,,,,,"  1 300,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  1 000,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Plomberie,Permanent,CROSS MKT RUBSON MASTIC,,,,,"  1 300,00 € "
2022,20rkk,134121,LEROY MERLIN - 022,94380,BONNEUIL,283,Peinture,Permanent,CROSS MKT ISOLATION & ETANCHEITE,,,,,"  400,00 € "
2023,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Peinture,Promo,TG/Podium,Signé,Valeur Fixe,PP,Ponctuelle,"  300,00 € "
2023,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Peinture,Permanent,Pack Visibilité GSB,Signé,Valeur Fixe,PP,,"  3 500,00 € "
2023,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Menuiserie,Promo,Cross,Signé,Valeur Fixe,PP,Ponctuelle,"  255,00 € "
2023,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Peinture,Promo,TG/Podium,Signé,Valeur Fixe,PP,Ponctuelle,"  1 837,00 € "
2022,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Peinture,Promo,CROSS MKT COLLES,,,,,"  2 000,00 € "
2022,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Peinture,Permanent,TG COLLES,,,,,"  1 760,00 € "
2022,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Menuiserie,Promo,CROSS MKT COLLES,,,,,"  1 500,00 € "
2022,20nvb,814181,LEROY MERLIN - 151,33270,BOULIAC,414,Peinture,Promo,TG COLLES,,,,,"  1 000,00 € "
2023,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Peinture,Permanent,,Signé,Valeur Fixe,PP,Semestre 2,"  2 375,00 € "
2023,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Peinture,Permanent,,Signé,Valeur Fixe,PP,Semestre 1,"  3 875,00 € "
2023,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Menuiserie,Permanent,,Signé,% CA Annuel Direct,PP,Semestre 1,"  450,00 € "
2023,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Peinture,Promo,,Signé,Valeur Fixe,PP,Semestre 2,"  1 500,00 € "
2023,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Plomberie,Permanent,,Signé,Valeur Fixe,PP,Semestre 1,"  1 250,00 € "
2023,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Plomberie,Permanent,,Signé,Valeur Fixe,PP,Semestre 2,"  1 250,00 € "
2022,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Peinture,Permanent,PODIUM ISOL & ETANCH,,,,,"  470,00 € "
2022,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Peinture,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  3 875,00 € "
2022,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Menuiserie,Permanent,CROSS MKT ISOL & ETANCH,,,,,"  3 875,00 € "
2022,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Peinture,Promo,CROSS MKT COLLES,,,,,"  1 500,00 € "
2022,20r4x,151546,LEROY MERLIN - 077,77170,BRIE COMTE ROBERT,283,Plomberie,Permanent,CROSS MKT RUBSON SILICONE,,,,,"  1 250,00 € "
2023,20r6a,2395533,LEROY MERLIN - 188,78200,BUCHELAY,311,Peinture,Permanent,,Signé,Valeur Fixe,PP,Année complète,"  5 160,00 € "
2023,20n84,107259,LEROY MERLIN - 066,13480,CABRIES,379,Plomberie,Permanent,TG/Podium,Signé,Valeur Fixe,PP,Semestre 1,"  800,00 € "
2023,20n84,107259,LEROY MERLIN - 066,13480,CABRIES,379,Plomberie,Permanent,TG/Podium,Signé,Valeur Fixe,PP,Semestre 2,"  800,00 € "
2022,20n84,107259,LEROY MERLIN - 066,13480,CABRIES,379,Plomberie,Permanent,TG CARTOUCHE & AEROSOL RUBSON,,,,,"  800,00 € "
2022,20n84,107259,LEROY MERLIN - 066,13480,CABRIES,379,Plomberie,Permanent,TG CARTOUCHE & AEROSOL RUBSON,,,,,"  800,00 € "
2023,20ppu,1162365,LEROY MERLIN - 159,62100,CALAIS,499,Menuiserie,Permanent,,Signé,Valeur Fixe,PP,Semestre 1,"  157,50 € "
2023,20ppu,1162365,LEROY MERLIN - 159,62100,CALAIS,499,Peinture,Promo,,Signé,Valeur Fixe,PP,Ponctuelle,"  280,00 € "
2023,20ppu,1162365,LEROY MERLIN - 159,62100,CALAIS,499,Peinture,Promo,,Signé,Valeur Fixe,PP,Ponctuelle,"  846,00 € "
2023,20ppu,1162365,LEROY MERLIN - 159,62100,CALAIS,499,Menuiserie,Permanent,,Signé,Valeur Fixe,PP,Semestre 2,"  157,50 € "
2022,20ppu,1162365,LEROY MERLIN - 159,62100,CALAIS,499,Peinture,Promo,CROSS MKT ISOLATION & ETANCHEITE RUBSON MASTIC NCNV,,,,,"  402,00 € "
2022,20ppu,1162365,LEROY MERLIN - 159,62100,CALAIS,499,Peinture,Promo,CROSS MKT ISOLATION & ETANCHEITE RUBSON MASTIC/PATTEX COLLE,,,,,"  858,24 € "
2023,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Peinture,Promo,TG/Podium,Signé,Valeur Fixe,PP,,"  500,00 € "
2023,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  5 500,00 € "
2023,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  5 500,00 € "
2023,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Plomberie,Permanent,,Signé,Valeur Fixe,PP,Semestre 2,"  2 400,00 € "
2022,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Peinture,Promo,CROSS MKT RUBSON,,,,,"  2 100,00 € "
2022,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Peinture,Permanent,CROSS MKT COLLES,,,,,"  550,00 € "
2022,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Peinture,Permanent,PODIUM SILICONE,,,,,"  600,00 € "
2022,20r4z,1353362,LEROY MERLIN - 163,77247,CESSON CEDEX,283,Plomberie,Permanent,TG COLLES,,,,,"  400,00 € "
2023,20p0d,107225,LEROY MERLIN - 025,37174,CHAMBRAY LES TOURS,460,Peinture,Promo,TG/Podium,Engagé,Valeur Fixe,PP,Ponctuelle,"  400,00 € "
2023,20pf5,107252,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,325,Peinture,Permanent,TG/Podium,Signé,Valeur Fixe,PP,,"  4 000,00 € "
2022,20pf5,107252,LEROY MERLIN - 056,54250,CHAMPIGNEULLES,325,Peinture,Permanent,CROSS MKT COLLES,,,,,"  4 000,00 € "
2023,20nk6,948547,LEROY MERLIN - 155,24650,CHANCELADE,414,Peinture,Promo,Promotion,Signé,,PP,Ponctuelle,"  1 400,00 € "
