CODE INTERNE UNIQUE DU POINT DE VENTE,Raison Sociale,Ville,Code Postal,"Total visites annuelles
2022","Total visites annuelles
2023"
20rh8,LEROY MERLIN - 075,ANDELNANS,90400,55,55
20r24,LEROY MERLIN - 154,ANNEMASSE CEDEX,74112,45,55
20nkn,LEROY MERLIN - 162,BESANCON,25000,55,55
20n0x,LEROY MERLIN - 167,THOIRY,01710,45,55
20pk2,LEROY MERLIN - 052,MAIZIERES LES METZ,57280,65,65
20pf5,LEROY MERLIN - 056,CHAMPIGNEULLES,54250,45,45
20pfk,LEROY MERLIN - 130,HOUDEMONT,54180,65,65
20pjc,LEROY MERLIN - 145,METZ,57070,45,45
20r1v,LEROY MERLIN - 177,EPAGNY,74330,55,55
20p1b,LEROY MERLIN - 194,ST EGREVE,38120,55,55
20uek,LEROY MERLIN - 085,VENISSIEUX,69200,55,65
20p4v,LEROY MERLIN - 100,ST ETIENNE,42000,45,45
20pxf,LEROY MERLIN - 117,TASSIN LA DEMI LUNE,69811,55,55
20p4t,LEROY MERLIN - 168,ST PRIEST EN JAREZ,42270,55,55
20pxm,LEROY MERLIN - 169,VOURLES,69390,55,55
20nh3,LEROY MERLIN - 018,QUETIGNY,21800,55,55
20pym,LEROY MERLIN - 135,MACON,71000,40,40
20pvr,LEROY MERLIN - 040,STRASBOURG,67200,45,45
20pjb,LEROY MERLIN - 074,FORBACH,57600,45,45
20pvs,LEROY MERLIN - 082,HAGUENAU,67500,45,45
20pwz,LEROY MERLIN - 157,MORSCHWILLER LE BAS,68790,45,45
20uj6,LEROY MERLIN - 197,MUNDOLSHEIM,67450,45,45
20pvp,LEROY MERLIN - 199,OSTWALD,67540,55,55
20r53,LEROY MERLIN - 016,LOGNES,77185,6,6
20rkk,LEROY MERLIN - 022,BONNEUIL,94380,75,75
20r4x,LEROY MERLIN - 077,BRIE COMTE ROBERT,77170,65,65
20r4m,LEROY MERLIN - 116,COLLEGIEN,77090,80,80
20r4z,LEROY MERLIN - 163,CESSON CEDEX,77247,70,70
20r51,LEROY MERLIN - 185,CHAUCONIN NEUFMONTIER,77124,40,40
20r2v,LEROY MERLIN - 055,PARIS,75003,75,75
20rjz,LEROY MERLIN - 063,ROSNY SOUS BOIS,93110,75,75
20rk3,LEROY MERLIN - 073,LIVRY GARGAN,93891,65,65
20rk1,LEROY MERLIN - 089,ST OUEN CEDEX,93584,55,55
20rjx,LEROY MERLIN - 115,ST DENIS,93216,65,65
20r2b,LEROY MERLIN - 182,PARIS,75012,55,55
20r32,LEROY MERLIN - 190,PARIS,75019,55,55
20r34,LEROY MERLIN - 196,PARIS,75008,50,50
20rm0,LEROY MERLIN - 010,MONTSOULT,95560,70,70
20rkz,LEROY MERLIN - 013,MONTIGNY LES CORMEILLES,95370,77,82
20rm2,LEROY MERLIN - 023,OSNY,95520,70,70
20r4a,LEROY MERLIN - 029,CHELLES,77508,50,45
20rjh,LEROY MERLIN - 072,GENNEVILLIERS,92230,70,70
20pnn,LEROY MERLIN - 078,JAUX,60880,45,55
20rmb,LEROY MERLIN - 172,GONESSE,95500,65,65
20rkj,LEROY MERLIN - 021,VITRY SUR SEINE,94408,60,60
20rkm,LEROY MERLIN - 142,IVRY SUR SEINE,94200,75,75
20r5r,LEROY MERLIN - 143,BOIS D ARCY,78390,75,75
20rjp,LEROY MERLIN - 161,RUEIL MALMAISON,92500,55,55
20rjk,LEROY MERLIN - 180,NANTERRE,92000,60,60
20r6a,LEROY MERLIN - 188,BUCHELAY,78200,60,60
20pkx,LEROY MERLIN - 011,VILLENEUVE D'ASCQ,59650,70,70
20pm1,LEROY MERLIN - 014,LA SENTINELLE,59174,65,70
20pky,LEROY MERLIN - 030,GRANDE SYNTHE,59760,40,45
20pm3,LEROY MERLIN - 032,LESQUIN,59810,55,65
20pm9,LEROY MERLIN - 050,HAUTMONT,59330,45,45
59n92,LEROY MERLIN - 084,NEUVILLE EN FERRAIN,59960,70,70
20ppu,LEROY MERLIN - 159,CALAIS,62100,40,40
20ppx,LEROY MERLIN - 003,MERLIMONT,62155,50,45
